,sample_id,group,scNiche,annotations_level1,annotations_level2,annotations_level3
BXNFB_C1_amobhecn-1,BXNFB_C1,dim,Niche2,Mononuclear phagocyte,MP-macro,MP-macro-res
BXNFB_C1_amobkndc-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-interstitial,VIC-interstitial
BXNFB_C1_amoecdfn-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_amogbhap-1,BXNFB_C1,dim,Niche1,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_amohfdaf-1,BXNFB_C1,dim,Niche0,NK cell,NK,NK-CD56-bright
BXNFB_C1_amonahbf-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-interstitial,VIC-interstitial
BXNFB_C1_ampclfml-1,BXNFB_C1,dim,Niche0,Endothelial,VEC-endocardial,VEC-endocardial
BXNFB_C1_ampennel-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_ampipiak-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-remodelling
BXNFB_C1_amplpdil-1,BXNFB_C1,dim,Niche2,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_anaakhfo-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-remodelling
BXNFB_C1_anadokid-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_anaiifab-1,BXNFB_C1,dim,Niche1,Mononuclear phagocyte,MP-macro,MP-macro-res
BXNFB_C1_anaklhio-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_anbfbede-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_anbfljci-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_anbjkoel-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-SMC,VIC-pericyte
BXNFB_C1_anbmhebk-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_anbnhnfn-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
